Cut# Description Data Bkg sig_22p0_1 sig_22p0_10 sig_22p0_100 sig_22p0_1000
cut0 "No cuts" 0 0 1.82383e+06 1.82173e+06 1.82737e+06 1.70341e+06
cut1 "MET filter bits pass" 0 0 1.82361e+06 1.82127e+06 1.827e+06 1.70325e+06
cut2 "HEM veto" 0 0 1.75874e+06 1.75854e+06 1.76535e+06 1.6465e+06
cut3 "Trigger fired (120 GeV METNoMu)" 0 0 505666 496449 498372 449110
cut4 "MET > 200 GeV" 0 0 150607 150568 170789 162406
cut5 "|CaloMET - PFMET|/CaloMET < 1" 0 0 149459 149873 170185 161714
cut6 "nJets > 0 (pT > 30 GeV)" 0 0 147537 147896 166427 159642
cut7 "leading jet |#eta| < 2.4" 0 0 140785 142169 159132 152621
cut8 "Leading jet pT > 80 GeV" 0 0 138119 138157 156013 149342
cut9 "|#Delta#Phi(MET, leading jet)| > 1.5" 0 0 137680 137453 155618 146989
cut10 "|#Delta#Phi(MET, all jets)| > 0.5" 0 0 122141 124237 135672 130478
cut11 "nJets < 3 (pT > 30 GeV)" 0 0 84918.3 88758.7 95368.3 90809.4
cut12 "0 b-tagged jets" 0 0 81700.4 84008.8 92014.6 86684.2
cut13 "good dSA muons >= 1" 0 0 62554.3 65098.7 72066.3 49054.2
cut14 "good dSA muons >= 2" 0 0 29347.4 28831.3 29730.4 18378.8
cut15 "best_dsa_0 != best_dsa_1" 0 0 22755.9 21508 23538.7 16618.3
cut16 "Cosmic veto (min(cosalpha) > -0.94)" 0 0 21195.1 19744.2 22250.9 15279.8
cut17 "good dSA-dSA vertex >= 1" 0 0 21195.1 19744.2 22250.9 15279.8
cut18 "Best dSA 0 pT resolution < 1" 0 0 21195.1 19744.2 22250.9 15279.8
cut19 "Best dSA 1 pT resolution < 1" 0 0 21195.1 19744.2 22250.9 15279.8
cut20 "Vertex #chi^{2} < 4" 0 0 17209.7 16162.6 17293 11489.1
cut21 "MT < 200 GeV" 0 0 17209.7 16162.6 17293 11489.1
cut22 "M_{#mu#mu} < 30 GeV" 0 0 17000.4 15759 16642.2 10807.4
cut23 "dR(muons) < 0.9" 0 0 14773.6 14149.9 15524.2 9215.12
cut24 "muons: OSSF" 0 0 14773.6 13939.7 14885.6 8981.09
cut25 "Selected muon 0 dxy > 0.1 cm" 0 0 2901.8 8946.98 14447.8 8981.09
cut26 "Selected muon 1 dxy > 0.1 cm" 0 0 899.763 7166.61 14216.6 8753.6
cut27 "0 GM-dSA matched" 0 0 209.329 481.189 7672.69 7429.16
cut28 "1 GM-dSA matched" 0 0 235.114 2866.43 3894.97 675.987
cut29 "2 GM-dSA matched" 0 0 455.32 3819 2648.92 648.452
