Cut# Description Data Bkg sig_11p0_1 sig_11p0_10 sig_11p0_100 sig_11p0_1000
cut0 "No cuts" 0 0 1.77406e+06 1.77378e+06 1.7711e+06 1.57463e+06
cut1 "MET filter bits pass" 0 0 1.77348e+06 1.77346e+06 1.77079e+06 1.57406e+06
cut2 "HEM veto" 0 0 1.70943e+06 1.71128e+06 1.70947e+06 1.52365e+06
cut3 "Trigger fired (120 GeV METNoMu)" 0 0 421411 438506 432536 366447
cut4 "MET > 200 GeV" 0 0 117058 114984 131917 124009
cut5 "|CaloMET - PFMET|/CaloMET < 1" 0 0 116106 114663 131261 122949
cut6 "nJets > 0 (pT > 30 GeV)" 0 0 113538 112170 129551 120097
cut7 "leading jet |#eta| < 2.4" 0 0 109616 107414 124593 114942
cut8 "Leading jet pT > 80 GeV" 0 0 107699 106131 122068 114344
cut9 "|#Delta#Phi(MET, leading jet)| > 1.5" 0 0 106754 104227 120551 112849
cut10 "|#Delta#Phi(MET, all jets)| > 0.5" 0 0 96080.5 92307.2 104387 97026.4
cut11 "nJets < 3 (pT > 30 GeV)" 0 0 67378.8 67435.9 74183.6 72632.3
cut12 "0 b-tagged jets" 0 0 64491.6 63793.3 71002.3 67892
cut13 "good dSA muons >= 1" 0 0 52157.2 48796.6 50414.9 28815
cut14 "good dSA muons >= 2" 0 0 21150.1 20359.5 20691.5 8919.53
cut15 "best_dsa_0 != best_dsa_1" 0 0 14083.9 14459.6 15463.4 6747.79
cut16 "Cosmic veto (min(cosalpha) > -0.94)" 0 0 13080.5 13479.6 14504.1 6063.28
cut17 "good dSA-dSA vertex >= 1" 0 0 13080.5 13479.6 14504.1 6063.28
cut18 "Best dSA 0 pT resolution < 1" 0 0 13080.5 13479.6 14504.1 6063.28
cut19 "Best dSA 1 pT resolution < 1" 0 0 13080.5 13479.6 14504.1 6063.28
cut20 "Vertex #chi^{2} < 4" 0 0 10093.1 11921 11765.7 4473.17
cut21 "MT < 200 GeV" 0 0 10093.1 11921 11765.7 4473.17
cut22 "M_{#mu#mu} < 30 GeV" 0 0 9758.55 11921 11446.9 4157.4
cut23 "dR(muons) < 0.9" 0 0 8867.68 10654.5 10827.4 2904.91
cut24 "muons: OSSF" 0 0 8263.45 10654.5 10171.9 2567.74
cut25 "Selected muon 0 dxy > 0.1 cm" 0 0 1897.28 7209.07 9534.97 2567.74
cut26 "Selected muon 1 dxy > 0.1 cm" 0 0 1565.73 5696.02 8886.17 2567.74
cut27 "0 GM-dSA matched" 0 0 0 951.634 5480.63 1263.2
cut28 "1 GM-dSA matched" 0 0 312.185 1302.02 1246.13 973.456
cut29 "2 GM-dSA matched" 0 0 1253.55 3442.36 2159.4 331.085
