Cut# Description Data Bkg sig_110p0_1 sig_110p0_10 sig_110p0_100 sig_110p0_1000
cut0 "No cuts" 0 0 2.16845e+06 2.16797e+06 2.17418e+06 2.08998e+06
cut1 "MET filter bits pass" 0 0 2.16791e+06 2.16712e+06 2.17387e+06 2.08928e+06
cut2 "HEM veto" 0 0 2.08174e+06 2.0868e+06 2.09554e+06 2.01471e+06
cut3 "Trigger fired (120 GeV METNoMu)" 0 0 1.04664e+06 1.0461e+06 1.05696e+06 1.01373e+06
cut4 "MET > 200 GeV" 0 0 497834 507649 523994 547670
cut5 "|CaloMET - PFMET|/CaloMET < 1" 0 0 496641 505651 523109 545764
cut6 "nJets > 0 (pT > 30 GeV)" 0 0 488344 497415 515472 540347
cut7 "leading jet |#eta| < 2.4" 0 0 476169 482118 500122 521618
cut8 "Leading jet pT > 80 GeV" 0 0 466037 471487 490902 510707
cut9 "|#Delta#Phi(MET, leading jet)| > 1.5" 0 0 464671 469729 489452 509751
cut10 "|#Delta#Phi(MET, all jets)| > 0.5" 0 0 420950 429243 441779 461752
cut11 "nJets < 3 (pT > 30 GeV)" 0 0 297980 296088 305664 325317
cut12 "0 b-tagged jets" 0 0 286827 286197 298768 312597
cut13 "good dSA muons >= 1" 0 0 254127 258075 266083 256571
cut14 "good dSA muons >= 2" 0 0 133193 132925 142459 137919
cut15 "best_dsa_0 != best_dsa_1" 0 0 128742 127671 137666 131827
cut16 "Cosmic veto (min(cosalpha) > -0.94)" 0 0 117890 118148 127473 122268
cut17 "good dSA-dSA vertex >= 1" 0 0 117890 118148 127473 122268
cut18 "Best dSA 0 pT resolution < 1" 0 0 117890 118148 127473 122268
cut19 "Best dSA 1 pT resolution < 1" 0 0 117890 118148 127473 122268
cut20 "Vertex #chi^{2} < 4" 0 0 103177 99719.8 102661 101676
cut21 "MT < 200 GeV" 0 0 103177 99719.8 102661 101676
cut22 "M_{#mu#mu} < 30 GeV" 0 0 102327 97689.2 100936 100171
cut23 "dR(muons) < 0.9" 0 0 67573.8 62464.6 65037.2 62007.3
cut24 "muons: OSSF" 0 0 66539.3 61459.6 63521.4 60290.8
cut25 "Selected muon 0 dxy > 0.1 cm" 0 0 7601.03 42648.3 59195.9 59447.3
cut26 "Selected muon 1 dxy > 0.1 cm" 0 0 4262.91 36039.6 57155.1 59123.3
cut27 "0 GM-dSA matched" 0 0 338.563 351.54 9955.18 43939.7
cut28 "1 GM-dSA matched" 0 0 513.347 4903.21 19181.4 9498.45
cut29 "2 GM-dSA matched" 0 0 3411 30784.9 28018.5 5685.12
